"","WR","type","base","year","value","impacts"
"38","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2001",0.560823121581382,"Production impacts"
"87","Australia","pop","Biodiversity impacts (bird sp lost)","2001",1.35748968829948,"Production impacts"
"136","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2001",0.560823121581382,"Production impacts"
"185","Australia","pop","ES impacts (ton Cseq potential lost)","2001",1.35748968829948,"Production impacts"
"234","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2002",3.23942616094828,"Production impacts"
"283","Australia","pop","Biodiversity impacts (bird sp lost)","2002",2.60220331018639,"Production impacts"
"332","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2002",3.23942616094828,"Production impacts"
"381","Australia","pop","ES impacts (ton Cseq potential lost)","2002",2.60220331018639,"Production impacts"
"430","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2003",5.11092271840987,"Production impacts"
"479","Australia","pop","Biodiversity impacts (bird sp lost)","2003",3.8761551715136,"Production impacts"
"528","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2003",5.11092271840987,"Production impacts"
"577","Australia","pop","ES impacts (ton Cseq potential lost)","2003",3.8761551715136,"Production impacts"
"626","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2004",8.1286354072705,"Production impacts"
"675","Australia","pop","Biodiversity impacts (bird sp lost)","2004",5.0874536626116,"Production impacts"
"724","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2004",8.1286354072705,"Production impacts"
"773","Australia","pop","ES impacts (ton Cseq potential lost)","2004",5.0874536626116,"Production impacts"
"822","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2005",10.1891331777381,"Production impacts"
"871","Australia","pop","Biodiversity impacts (bird sp lost)","2005",6.48357959588576,"Production impacts"
"920","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2005",10.1891331777381,"Production impacts"
"969","Australia","pop","ES impacts (ton Cseq potential lost)","2005",6.48357959588576,"Production impacts"
"1018","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2006",11.8656911517057,"Production impacts"
"1067","Australia","pop","Biodiversity impacts (bird sp lost)","2006",8.06609930559181,"Production impacts"
"1116","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2006",11.8656911517057,"Production impacts"
"1165","Australia","pop","ES impacts (ton Cseq potential lost)","2006",8.06609930559181,"Production impacts"
"1214","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2007",15.3924031004444,"Production impacts"
"1263","Australia","pop","Biodiversity impacts (bird sp lost)","2007",8.74327781548582,"Production impacts"
"1312","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2007",15.3924031004444,"Production impacts"
"1361","Australia","pop","ES impacts (ton Cseq potential lost)","2007",8.74327781548582,"Production impacts"
"1410","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2008",17.2424722220479,"Production impacts"
"1459","Australia","pop","Biodiversity impacts (bird sp lost)","2008",10.9444995562053,"Production impacts"
"1508","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2008",17.2424722220479,"Production impacts"
"1557","Australia","pop","ES impacts (ton Cseq potential lost)","2008",10.9444995562053,"Production impacts"
"1606","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2009",16.8129267398573,"Production impacts"
"1655","Australia","pop","Biodiversity impacts (bird sp lost)","2009",13.2548425834073,"Production impacts"
"1704","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2009",16.8129267398573,"Production impacts"
"1753","Australia","pop","ES impacts (ton Cseq potential lost)","2009",13.2548425834073,"Production impacts"
"1802","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2010",17.3279364205208,"Production impacts"
"1851","Australia","pop","Biodiversity impacts (bird sp lost)","2010",15.0305435179867,"Production impacts"
"1900","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2010",17.3279364205208,"Production impacts"
"1949","Australia","pop","ES impacts (ton Cseq potential lost)","2010",15.0305435179867,"Production impacts"
"1998","Australia","gdp_cap","Biodiversity impacts (bird sp lost)","2011",18.3765774727279,"Production impacts"
"2047","Australia","pop","Biodiversity impacts (bird sp lost)","2011",16.6396909100402,"Production impacts"
"2096","Australia","gdp_cap","ES impacts (ton Cseq potential lost)","2011",18.3765774727279,"Production impacts"
"2145","Australia","pop","ES impacts (ton Cseq potential lost)","2011",16.6396909100402,"Production impacts"
"2194","Australia","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2001",2.29496166761892,"Production impacts"
"2243","Australia","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2001",-1.99302872196803,"Production impacts"
"2292","Australia","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2002",-5.24272449228508,"Production impacts"
"2341","Australia","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2002",-7.97670941324872,"Production impacts"
"2390","Australia","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2003",-7.68745292028782,"Production impacts"
"2439","Australia","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2003",-6.44006161919691,"Production impacts"
"2488","Australia","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2004",-10.2757959672128,"Production impacts"
"2537","Australia","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2004",-9.14339118087499,"Production impacts"
"2586","Australia","bio_pro_gdp","Biodiversity impacts (bird sp lost)","2005",-10.6905780195706,"Production impacts"
"2635","Australia","cseq_pro_gdp","ES impacts (ton Cseq potential lost)","2005",-10.2861764854096,"Production impacts"
