"","WR","type","base","year","value","impacts"
"1","Austria","bio_pro","Biodiversity impacts (bird sp lost)","2001",1.25032118978291,"Production impacts"
"2","Belgium","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.79230025091447,"Production impacts"
"3","Bulgaria","bio_pro","Biodiversity impacts (bird sp lost)","2001",-4.8401856362881,"Production impacts"
"4","Cyprus","bio_pro","Biodiversity impacts (bird sp lost)","2001",-7.8048780487805,"Production impacts"
"5","Czech Republic","bio_pro","Biodiversity impacts (bird sp lost)","2001",0.688759517987468,"Production impacts"
"6","Germany","bio_pro","Biodiversity impacts (bird sp lost)","2001",-12.0761250761963,"Production impacts"
"7","Denmark","bio_pro","Biodiversity impacts (bird sp lost)","2001",-3.79787002374705,"Production impacts"
"8","Estonia","bio_pro","Biodiversity impacts (bird sp lost)","2001",-5.4170677760715,"Production impacts"
"9","Spain","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.5177138440265,"Production impacts"
"10","Finland","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.195936847006359,"Production impacts"
"11","France","bio_pro","Biodiversity impacts (bird sp lost)","2001",0.590232838327249,"Production impacts"
"12","Greece","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.77857804321335,"Production impacts"
"13","Croatia","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.0978250569444,"Production impacts"
"14","Hungary","bio_pro","Biodiversity impacts (bird sp lost)","2001",1.27766957315486,"Production impacts"
"15","Ireland","bio_pro","Biodiversity impacts (bird sp lost)","2001",6.96863901763679,"Production impacts"
"16","Italy","bio_pro","Biodiversity impacts (bird sp lost)","2001",-2.16821220956085,"Production impacts"
"17","Lithuania","bio_pro","Biodiversity impacts (bird sp lost)","2001",-25.3693514748237,"Production impacts"
"18","Luxembourg","bio_pro","Biodiversity impacts (bird sp lost)","2001",2.35849056603773,"Production impacts"
"19","Latvia","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.194725988808722,"Production impacts"
"20","Malta","bio_pro","Biodiversity impacts (bird sp lost)","2001",NA,"Production impacts"
"21","Netherlands","bio_pro","Biodiversity impacts (bird sp lost)","2001",-5.45711803109296,"Production impacts"
"22","Poland","bio_pro","Biodiversity impacts (bird sp lost)","2001",-2.6268476050256,"Production impacts"
"23","Portugal","bio_pro","Biodiversity impacts (bird sp lost)","2001",-2.44226252660039,"Production impacts"
"24","Romania","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.541814440246629,"Production impacts"
"25","Sweden","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.172042294801901,"Production impacts"
"26","Slovenia","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.188479292171351,"Production impacts"
"27","Slovak Republic","bio_pro","Biodiversity impacts (bird sp lost)","2001",-4.74919316216247,"Production impacts"
"28","United Kingdom","bio_pro","Biodiversity impacts (bird sp lost)","2001",-3.91093602066403,"Production impacts"
"29","United States","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.46578786284447,"Production impacts"
"30","Japan","bio_pro","Biodiversity impacts (bird sp lost)","2001",-6.22705658784146,"Production impacts"
"31","China","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.568973333258902,"Production impacts"
"32","Canada","bio_pro","Biodiversity impacts (bird sp lost)","2001",-3.96976153330187,"Production impacts"
"33","Korea, Rep.","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.489815821082433,"Production impacts"
"34","Brazil","bio_pro","Biodiversity impacts (bird sp lost)","2001",0.55398990079228,"Production impacts"
"35","India","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.01393430946174,"Production impacts"
"36","Mexico","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.46952114624734,"Production impacts"
"37","Russian Federation","bio_pro","Biodiversity impacts (bird sp lost)","2001",1.03879892274968,"Production impacts"
"38","Australia","bio_pro","Biodiversity impacts (bird sp lost)","2001",4.26508685529158,"Production impacts"
"39","Switzerland","bio_pro","Biodiversity impacts (bird sp lost)","2001",-1.19028581196958,"Production impacts"
"40","Turkey","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.210529496680937,"Production impacts"
"41","Taiwan","bio_pro","Biodiversity impacts (bird sp lost)","2001",0.0258791956974713,"Production impacts"
"42","Norway","bio_pro","Biodiversity impacts (bird sp lost)","2001",9.1506888547225,"Production impacts"
"43","Indonesia","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.150215848134376,"Production impacts"
"44","South Africa","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.182744346685054,"Production impacts"
"45","RoW Asia and Pacific","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.697870877077446,"Production impacts"
"46","RoW America","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.977919214397904,"Production impacts"
"47","RoW Europe","bio_pro","Biodiversity impacts (bird sp lost)","2001",-0.136990550899426,"Production impacts"
"48","RoW Africa","bio_pro","Biodiversity impacts (bird sp lost)","2001",0.590033080641035,"Production impacts"
"49","RoW Middle East","bio_pro","Biodiversity impacts (bird sp lost)","2001",3.55184203966268,"Production impacts"
"50","Austria","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.50975188278621,"Production impacts"
"51","Belgium","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.37948024931032,"Production impacts"
"52","Bulgaria","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-2.75303448127864,"Production impacts"
"53","Cyprus","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-18.3213736119938,"Production impacts"
"54","Czech Republic","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.309719961199858,"Production impacts"
"55","Germany","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-9.86595682256723,"Production impacts"
"56","Denmark","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-7.44331988029627,"Production impacts"
"57","Estonia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",6.78787601223633,"Production impacts"
"58","Spain","cseq_pro","ES impacts (ton Cseq potential lost)","2001",3.27425823819261,"Production impacts"
"59","Finland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.8625767507378,"Production impacts"
"60","France","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-3.85966818208656,"Production impacts"
"61","Greece","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-6.2296641789895,"Production impacts"
"62","Croatia","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.174269967085329,"Production impacts"
"63","Hungary","cseq_pro","ES impacts (ton Cseq potential lost)","2001",0.279835980509145,"Production impacts"
"64","Ireland","cseq_pro","ES impacts (ton Cseq potential lost)","2001",-0.585288524368499,"Production impacts"
